Nummer,Sector,Ligging,Oppervlakte,Eigenaar,Datum,Bron,Opmerkingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100000,"Ordre op de meting van Waterland anno 1588, 1589 en 1590 geschied: 1) heb in den geme[en] met Monekedammer roeden, 400 roeden voor een deymt, soe dat van outs gebruikt is, ende hebben voerts gemeten 3 voeten waters rontsom het lant ende waar de sloten geen voet wijt waren te halven sloot; 2) is er gemeten alle die halijgen groot ende cleijn, dat vast lant was; 3) is er gemeten alle hofsteden die boven die 50 roe groot waren ende die 50 roe minder waren is vrij geweest. Idem die meerder als 50 roe waren hebben die vrijicheid van het 50 roe affslach oock gebruikt                         ",,,,,Maatboek van Waterland Inv 63 fol 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inv 63 fol 1
10100001,"polder ""die Woutweeren""",,,,1589,fol 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100002,"polder ""die Woutweeren""",Kokeven,"912 roeden, riet 40 roeden ",Claes Leeckman,1589,fol 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100003,"polder ""die Woutweeren""",Lobbenhoorn,"236 roeden, riet 8 roeden",Marte Pietersen,1589,fol 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100004,"polder ""die Woutweeren""","""Trijnke deymt""",722 roeden,Dirck Janses,1589,fol 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100005,"polder ""die Woutweeren""",Niesiesven,402 roeden,Geert Tappers,1589,fol 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100006,"polder ""die Woutweeren""",Heynste Cruis,1128 roeden,jonge Jan van Bente,1589,fol 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100007,"polder ""die Woutweeren""",Johannesven,1088 roeden,Geert Potters,1589,fol 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100008,"polder ""die Woutweeren""",grote Boeleven,"1532 roeden, riet 16 roeden ",Hillegont Lastmans,1589,fol 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100009,"polder ""die Woutweeren""",Veerste Cruis ,1035 roeden,Alit Reyers,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100010,"polder ""die Woutweeren""","Veerste Cruis, op die Meer",958 roeden,Alit Reyers,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,
10100011,"polder ""die Woutweeren""","Lee, op die meer",906 roeden,Jan Rijser,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100012,"polder ""die Woutweeren""",after Lee,1153 roeden,Hillebrant Sijmes,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100013,"polder ""die Woutweeren""",het kercke deymt,387 roeden,kerk van Lantsmeer,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100014,"polder ""die Woutweeren""","lee, op de dijcksloot","1044 roeden, riet 4 roeden ",Eecht Jan deckers,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100015,"polder ""die Woutweeren""",after Lee,1047 roeden,Claes Martses,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100016,"polder ""die Woutweeren""",voor Lee,1372 roeden,Cornelis Wilmsen,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100017,"polder ""die Woutweeren""",after Lee,947 roeden,Janne Sane,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100018,"polder ""die Woutweeren""",smael,1072 roeden,Lantsmoer kercke,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100019,"polder ""die Woutweeren""",middelste ven,1352 roeden,Marte Mooie,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100020,"polder ""die Woutweeren""",Knopien en Kortkamp ,317 roeden,Ael Jaep Heynes,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100021,"polder ""die Woutweeren""",Kortkamp en Knopien,317 roeden,Ael Jaep Heynes,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100022,"polder ""die Woutweeren""",3 Huelfft lanties ,1584 roeden,Neeltien Nomes en Dirck Jansen ,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100023,"polder ""die Woutweeren""",Eckbertslant,432 roeden,Claes Sem Eeffmoers,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100024,"polder ""die Woutweeren""",Eckbertslant,494 roeden,Trijn Potters,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100025,"polder ""die Woutweeren""",Vrouwenven,645 roeden,Kees Konsen,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100026,"polder ""die Woutweeren""",cleyne Boeleven,768 roeden,Jan Mines?,1589,fol 67v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100027,"polder ""die Woutweeren""",Vrouke ven,633 ½ roeden,Claes jong Eechts,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100028,"polder ""die Woutweeren""",Eckbertslant,477 roeden,Pieter Cornelisses,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100029,"polder ""die Woutweeren""",Eckbertslant,529 roeden,Nies timmermans,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100030,"polder ""die Woutweeren""","Strontert, Jan Syms en Taties Strontert",990 ¾ roeden,Jan Symsen Taties,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100031,"polder ""die Woutweeren""",Stronties,,Eeffmoer,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100032,"polder ""die Woutweeren""",4 stel,"1254 roeden, riet 20 roeden",Marijtien potters,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100033,"polder ""die Woutweeren""",1093¼ roede ven,1093 ¼ roeden,Pieter oom Keeses ,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100034,"polder ""die Woutweeren""",Claerenven,1194 roeden,Beert Syberichs,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100035,"polder ""die Woutweeren""",cleyne lantien,578 ½ roeden,Heijn Jan Vesanes kinderen,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100036,"polder ""die Woutweeren""",Bruinties lant,1075 roeden,Claes Leeckman ,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100037,"polder ""die Woutweeren""",Reijmets lantien,839 roeden,Jaep Symsen,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100038,"polder ""die Woutweeren""",Reijmets lant,808 roeden,Claes Sem die Voocht,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100039,"polder ""die Woutweeren""",Venke lant,734 ¼ roeden,die goutsmit te Eedam,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100040,"polder ""die Woutweeren""",Heerijge lant,606 roeden,Jan Broers,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100041,"polder ""die Woutweeren""","""Jan Dirck Syms lant"" ",690 roeden,Pieterman,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100042,"polder ""die Woutweeren""","""het after Teeus lant'",792 roeden,Jan Symsen Taetien,1589,fol 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100043,"polder ""die Woutweeren""","""het voor tauwerslant""",1184 ¾ roeden,Heijn Jan Vesanes erffnamen,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100044,"polder ""die Woutweeren""","""Cramersven""","1057 roeden, riet 18 roeden",Jaep Grebber,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100045,"polder ""die Woutweeren""","""Pieter Janses werffkamp""",1222 roeden,Heijn Garbrantsen en Jan Ysbrantsen ,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100046,"polder ""die Woutweeren""",Cooien,923 ½ roeden,Lobbrich Mieus Beijers,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100047,"polder ""die Woutweeren""","""Eechtenven""",1207 roeden,Syme Clases,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100048,"polder ""die Woutweeren""","""Dove Dirck"" ",862 roeden,Jonge Jan van Bente,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100049,"polder ""die Woutweeren""","""Dove Dirck"" ",737 roeden,Jaep van Bente,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100050,"polder ""die Woutweeren""",Kijft,1255 ¼ roeden,Claes Jan Melis erffnamen,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100051,"polder ""die Woutweeren""","""Dove Dirck"" ",1233 roeden,Syme Clasen en Kees Sem ,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100052,"polder ""die Woutweeren""",leege Venke,744 ¾ roeden,Maeijke Meelis,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100053,"polder ""die Woutweeren""",1363 roeden ven,1363 roeden,Nel Jan Hilleses,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100054,"polder ""die Woutweeren""",Wuerffkamp,1010 roeden,Pieter oom Keeses ,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100055,"polder ""die Woutweeren""",cleyne Wuerffkamp,370 roeden,Neel Taeffies,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100056,"polder ""die Woutweeren""",after lant,1098 ¼ roeden,Neel Taeffies,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100057,"polder ""die Woutweeren""",leege Venke,1096 roeden,Claes Leeckman ,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100058,"polder ""die Woutweeren""",Pelsers Kamp,1604 roeden,Geert Jan Claes,1589,fol 68v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
